,index,jobName,tags,area,workYear,degree,companyName,companyType,companySize,logo,min_salary,max_salary
8753,8753,Web前端��程师,"VUE,HTML,css,H5,React,全家桶,rtmp,tcp,W3C的DOM模型,定期体检,带薪年假,五险一金,节日福利,周末双休",深圳深圳南山区,3-4年,大专,深圳宇翊技术股份有限公司,民营,50-150人,https://img04.51jobcdn.com/im/mkt/app/51job_phone/app/homelogo/new/home_logo_default_software.png,12000,20000
8754,8754,前端开发工程师,"前端工程师,web前端,web,开发,软件开发,HTML5,H5,vue,五险一金,年终奖金,员工旅游,绩效奖金,餐饮补贴,交通补贴",上海上海闵行区浦江镇,3-4年,本科,上海联泉智能科技有限公司,民营,50-150人,https://img04.51jobcdn.com/im/mkt/app/51job_phone/app/homelogo/new/home_logo_default_software.png,14000,28000
8755,8755,高级前端开发工程师,"计算机,jquery,vue,前端,前端开发,软件,es6,前端框架,数据交互,angular,五险一金,补充医疗保险,补充公积金,免费班车,交通补贴,绩效奖金,年终奖金,弹性工作,定期体检,专业培训",深圳深圳,5-7年,本科,金蝶软件（中国）有限公司,外资（非欧美）,5000-10000人,https://img01.51jobcdn.com/fansImg/CompLogo/1/101/100679/100679_300.png?636590564887181063,21000,40833
8756,8756,开发工程师（五险一金+双休）,"计算机,java,mysql,oracle,springboot,mybatis,css,springmvc,redis,vue,五险一金,员工旅游,定期体检,餐饮补贴,年终奖金",江苏省南京江宁区,2年,大专,南京微盛银创信息技术有限公司,民营,50-150人,https://img01.51jobcdn.com/fansImg/CompLogo/3/2697/2696496/2696496_300.png?637406895891326961,7000,12000
8757,8757,中高级前端开发工程师,"vue,银行,金融,手机银行",江苏省南京,5-7年,本科,京北方信息技术股份有限公司珠海分公司,民营,少于50人,https://img04.51jobcdn.com/im/mkt/app/51job_phone/app/homelogo/new/home_logo_default_software.png,10000,17000
8758,8758,小程序前端开发,"计算机,jquery,css,javascript,项目管理,vue,开发,svn,git,react,餐饮补贴,五险一金,双休",浙省杭州萧山区,5-7年,本科,余姚众安时代广场商业管理有限公司,民营,50-150人,https://img04.51jobcdn.com/im/mkt/app/51job_phone/app/homelogo/new/home_logo_default_management.png,15000,20000
8759,8759,前端开发工程师IOC,"前端架构设计,前端开发,threejs,h5,vue,五险一金,餐饮补贴,弹性工作,免费班车,年终奖金",广东省东莞,5-7年,大专,立讯精密工业股份有限公司,已上市,10000人以上,https://img04.51jobcdn.com/im/mkt/app/51job_phone/app/homelogo/new/home_logo_default_elect.png,12000,18000
8760,8760,Java开发工程师,"java,mybatis,sql,开发,vue框架,springcloud,j2ee,年终奖金,五险一金,员工旅游",江苏省常熟,3-4年,本科,苏州汇编智能科技有限公司,民营,少于50人,https://img04.51jobcdn.com/im/mkt/app/51job_phone/app/homelogo/new/home_logo_default_compuserve.png,10833,21667
8761,8761,系统集成工程师/软件工程师,"oracle,css,html,javascript,sql,erp,vue,自动化,前端开发,mysql数据库,年终奖金,定期体检,五险,包食宿,年度旅游",江苏省泰州高港区,5-7年,本科,江苏金顺自动化科技有限公司,民营,50-150人,https://img01.51jobcdn.com/fansImg/CompLogo/9/8220/8219365/122751333893989821719_300.png?1697601762101,12000,18000
8762,8762,后端开发工程师（Node.Js）,"mysql,javascript,需求分析,redis,编程,软件工程,项目开发,es6,mongodb,关系型数据库,五险一金,定期体检,绩效奖金,年终奖金,周末双休,带薪年假,节日福利,专业培训,交通补贴",北京北京朝阳区,3-4年,本科,大连蓝海时代信息技术有限公司,民营,150-500人,https://img04.51jobcdn.com/im/mkt/app/51job_phone/app/homelogo/new/home_logo_default_software.png,15000,30000
